iso_3,year,sentiment,amount_of_time_spent_on_climate,Annual COâ‚‚ emissions (per capita),Anual co2 per capita shifted,Change co2
AFG,2013,,0.0,0.29328325,0.2802986,0.012984649999999986
AFG,2014,0.4276333333333333,0.13636363636363635,0.2802986,0.29007638,-0.009777780000000014
AFG,2015,0.7184,0.05263157894736842,0.29007638,0.2617953,0.028281080000000014
AFG,2016,,0.0,0.2617953,0.2768525,-0.015057199999999993
AFG,2017,,0.0,0.2768525,0.29487586,-0.01802335999999999
AFG,2018,,0.0,0.29487586,0.29340136,0.0014744999999999897
AFG,2019,-0.8591,0.05263157894736842,0.29340136,0.29974586,-0.006344499999999975
AFG,2020,0.014180000000000003,0.12195121951219512,0.29974586,0.29611897,0.0036268899999999937
AGO,2013,-0.12460000000000002,0.14285714285714285,0.9453697,0.9269858,0.01838390000000001
AGO,2014,-0.4019,0.037037037037037035,0.9269858,0.9076792,0.01930659999999995
AGO,2015,0.40354999999999996,0.09523809523809523,0.9076792,0.9332855,-0.02560629999999997
AGO,2016,0.9664,0.058823529411764705,0.9332855,0.8045412,0.12874430000000003
AGO,2017,0.93245,0.09090909090909091,0.8045412,0.72839534,0.07614586000000001
AGO,2018,,0.0,0.72839534,0.6743616,0.05403373999999994
AGO,2019,0.07097499999999998,0.25,0.6743616,0.60654044,0.06782116000000005
AGO,2020,0.7717,0.04,0.60654044,0.6191414,-0.012600959999999994
AGO,2021,-0.784,0.16666666666666666,0.6191414,6.1505995,-5.5314581
ALB,2013,,0.0,1.8314621,2.0802531,-0.2487910000000002
ALB,2014,,0.0,2.0802531,1.6347499,0.4455032000000001
ALB,2015,,0.0,1.6347499,1.6077313,0.027018600000000115
ALB,2016,0.9048,0.038461538461538464,1.6077313,1.9324249,-0.3246936
ALB,2017,0.1248,0.09523809523809523,1.9324249,1.7323643,0.20006060000000003
ALB,2018,,0.0,1.7323643,1.7215332,0.010831099999999871
ALB,2019,,0.0,1.7215332,1.6493919,0.07214130000000019
ALB,2020,0.055699999999999986,0.06557377049180328,1.6493919,1.618066,0.03132589999999991
ALB,2021,0.9738,0.05555555555555555,1.618066,0.0006419031,1.6174240969
ARG,2013,,0.0,4.471467,4.3993144,0.0721525999999999
ARG,2014,,0.0,4.3993144,4.4326596,-0.0333452000000003
ARG,2015,0.71315,0.046511627906976744,4.4326596,4.3491664,0.08349320000000038
ARG,2016,0.2313,0.21052631578947367,4.3491664,4.242436,0.1067304
ARG,2017,0.78075,0.10526315789473684,4.242436,4.0663075,0.1761284999999999
ARG,2018,,0.0,4.0663075,3.9894862,0.07682129999999976
ARG,2019,0.9842,0.1,3.9894862,3.7583838,0.23110240000000015
ARG,2020,0.6560666666666667,0.05084745762711865,3.7583838,4.117966,-0.3595822000000002
ARG,2021,0.05608333333333334,0.19047619047619047,4.117966,8.832011e-05,4.11787767989
ARM,2013,0.19325,0.1,1.9077103,1.9391817,-0.03147140000000004
ARM,2014,0.7001999999999999,0.05263157894736842,1.9391817,1.8999954,0.03918630000000012
ARM,2015,,0.0,1.8999954,1.8155274,0.08446799999999999
ARM,2016,,0.0,1.8155274,1.9425985,-0.1270711
ARM,2017,,0.0,1.9425985,2.0538187,-0.11122019999999999
ARM,2018,,0.0,2.0538187,2.2279305,-0.17411179999999993
ARM,2019,0.7854,0.07692307692307693,2.2279305,2.2920723,-0.06414180000000025
ARM,2020,,0.0,2.2920723,2.4385939,-0.1465215999999998
ARM,2021,,0.0,2.4385939,9.935253,-7.4966591
AZE,2013,,0.0,3.4900715,3.5258524,-0.035780900000000226
AZE,2014,,0.0,3.5258524,3.516297,0.009555400000000436
AZE,2015,0.9468,0.05263157894736842,3.516297,3.4809992,0.035297799999999935
AZE,2016,-0.945,0.06666666666666667,3.4809992,3.4361122,0.04488699999999968
AZE,2017,,0.0,3.4361122,3.4056375,0.030474700000000077
AZE,2018,0.7269,0.038461538461538464,3.4056375,3.6879482,-0.2823107
AZE,2019,-0.09639999999999999,0.09523809523809523,3.6879482,3.646883,0.041065200000000246
AZE,2020,0.8442,0.015384615384615385,3.646883,3.7324574,-0.08557440000000005
AZE,2021,0.8625,0.016666666666666666,3.7324574,0.6731087,3.0593487
BDI,2013,0.29645,0.058823529411764705,0.03921304,0.035751108,0.003461932000000001
BDI,2014,0.77685,0.12903225806451613,0.035751108,0.03674386,-0.0009927520000000065
BDI,2015,0.9009499999999999,0.07407407407407407,0.03674386,0.042871036,-0.006127175999999998
BDI,2016,,0.0,0.042871036,0.047545392,-0.004674355999999998
BDI,2017,0.028750000000000005,0.09523809523809523,0.047545392,0.05949706,-0.011951667999999999
BDI,2018,0.7795000000000001,0.08,0.05949706,0.060455058,-0.0009579980000000016
BDI,2019,-0.9138,0.03571428571428571,0.060455058,0.05377387,0.006681187999999998
BDI,2020,-0.69045,0.05263157894736842,0.05377387,0.055206448,-0.0014325779999999969
BDI,2021,,0.0,0.055206448,0.0,0.055206448
BEN,2013,0.6426625,0.2857142857142857,0.44292313,0.45182008,-0.008896950000000015
BEN,2014,0.3092,0.07547169811320754,0.45182008,0.48742136,-0.03560128000000001
BEN,2015,,0.0,0.48742136,0.5767284,-0.08930704
